Protein	Similarity_Drug_vs_Control	pValue	FDR	Fold-change 	Fold-change 
C02F5.3	0.7175324675324676	N/A	N/A	N/A	false
F20D6.4d	0.7042353009464684	0.15554254733458334	0.9995692703162754	0.056605951742030446	false
F20D6.4c	0.707755690206973	0.09258225512657607	0.9388124097157782	0.07133687911005379	false
Y73B6BL.6b	0.9047843063863272	0.9090479474771791	0.9995692703162754	0.03377592845739309	false
R03G5.1d	0.9300236690852741	0.3832422258181535	0.9995692703162754	0.018837052627430104	false
F09C8.1	N/A	N/A	N/A	N/A	false
R03G5.1c	0.8939764422556911	0.08195627697157036	0.8570586408543742	0.02752976005625628	false
F30A10.6	N/A	N/A	N/A	N/A	false
R03G5.1b	0.8831944842127902	0.17873249333283325	0.9995692703162754	0.02640319054172071	false
R03G5.1a	0.9285919065067619	0.09080223635523701	0.9370904325032765	0.020463523908840348	false
F42G9.2	0.8666888743964977	0.821461677799938	0.9995692703162754	0.04321977915206783	false
F56D1.6	0.6674582131941338	N/A	N/A	0.10688406488836968	false
F56D1.3	0.7933971474619894	0.7423437450697955	0.9995692703162754	0.07027929246667215	false
C46F11.2a	0.8313534714353202	0.0017030255054508387	0.004788789192458917	0.09688101617305409	false
H15N14.1e	0.6916514818970786	0.08406271736058106	0.869098990359461	0.07808536329921277	false
Y44A6D.5	N/A	N/A	N/A	N/A	false
